transaction_date,asset_tag,machine_type,cluster,anomaly_score,고장표시참고율,temp_bearing_degC,temp_motor_degC,vibration_h_mms,vibration_v_mms,oil_pressure_bar,load_pct,shaft_rpm,power_consumption_kw
2022-01-03,AST-1041,CNC Lathe,1,3.1191350095434345,0.1,63.3,63.5,4.944,3.886,3.71,85.9,1794,16.09
2022-01-04,AST-1041,CNC Lathe,1,2.6718555915369633,0.05,64.0,64.8,4.614,3.53,3.67,82.0,1790,15.53
2022-01-05,AST-1041,CNC Lathe,1,2.3087296238756907,0.15,64.4,66.7,4.36,2.976,3.74,83.0,1827,16.2
2022-01-06,AST-1041,CNC Lathe,1,2.0522698400614026,0.0,64.5,68.1,4.522,3.315,3.9,82.9,1811,16.47
2022-01-07,AST-1041,CNC Lathe,1,3.0205001255678003,0.05,62.2,66.3,4.34,3.434,3.71,80.1,1810,15.08
2022-01-08,AST-1041,CNC Lathe,0,2.9083977045678178,0.0,63.8,61.4,4.52,3.435,3.83,69.7,1706,14.27
2022-01-09,AST-1041,CNC Lathe,0,3.0358156992126886,0.0,61.5,62.8,3.933,2.62,3.94,66.4,1712,12.35
2022-01-10,AST-1041,CNC Lathe,1,2.3571583367843925,0.2,65.0,66.2,4.276,3.073,3.62,84.3,1823,16.46
2022-01-11,AST-1041,CNC Lathe,1,2.208447501428827,0.2,64.5,66.4,4.616,3.162,3.87,86.0,1810,16.24
2022-01-12,AST-1041,CNC Lathe,1,2.8091611431238275,0.1,62.8,66.9,4.808,3.267,3.72,85.8,1819,15.44
2022-01-13,AST-1041,CNC Lathe,1,2.5827841148328803,0.05,64.2,64.9,3.961,2.994,3.67,86.6,1772,16.17
2022-01-14,AST-1041,CNC Lathe,1,2.7540957846021343,0.1,64.8,66.0,4.824,3.73,3.45,83.9,1822,15.93
2022-01-15,AST-1041,CNC Lathe,0,2.5709338208124066,0.0,63.4,63.9,4.237,3.266,3.77,66.5,1737,12.28
2022-01-16,AST-1041,CNC Lathe,0,2.410717804707367,0.0,62.6,64.7,3.817,2.983,3.89,67.7,1720,12.86
2022-01-17,AST-1041,CNC Lathe,1,2.149678233775394,0.15,65.7,63.9,3.666,2.747,4.09,78.4,1828,15.19
2022-01-18,AST-1041,CNC Lathe,1,2.1767696521554085,0.1,65.2,64.8,4.045,2.979,3.91,79.2,1804,14.63
2022-01-19,AST-1041,CNC Lathe,0,3.079714421637385,0.2,63.8,61.3,4.428,3.106,4.0,79.6,1786,12.38
2022-01-20,AST-1041,CNC Lathe,1,2.479401160351789,0.05,65.1,64.6,4.431,3.235,3.63,80.8,1806,16.29
2022-01-21,AST-1041,CNC Lathe,1,2.022388758384678,0.1,67.1,65.5,4.665,3.235,3.7,85.7,1808,15.61
2022-01-22,AST-1041,CNC Lathe,0,2.9845077747194955,0.0,65.1,61.7,4.12,2.921,4.01,64.8,1688,11.34
2022-01-23,AST-1041,CNC Lathe,0,3.287747738791773,0.0,61.5,63.8,4.004,3.021,3.7,66.7,1692,11.44
2022-01-24,AST-1041,CNC Lathe,1,2.402369963848463,0.1,64.1,66.8,4.444,3.309,3.8,88.8,1787,16.16
2022-01-25,AST-1041,CNC Lathe,1,2.500174361324477,0.05,66.4,62.6,4.487,3.978,3.88,83.0,1803,14.91
2022-01-26,AST-1041,CNC Lathe,1,2.4539928472275636,0.35,63.8,67.0,4.583,3.168,3.73,86.8,1779,15.48
2022-01-27,AST-1041,CNC Lathe,1,2.9658486962635093,0.15,62.9,64.4,4.258,3.169,3.76,81.0,1817,14.44
