udi,type,air_k,process_k,rpm,torque,tool_wear,failure,split,proba,cluster,anomaly
1,L,297.9,307.2,1265.0,38.7,51,0,train,0.086,0,0
2,L,296.5,309.0,1793.0,43.9,188,0,train,0.081,0,0
3,H,302.8,307.3,1485.0,43.2,51,0,train,0.005,2,0
4,L,297.9,307.3,1508.0,51.2,37,0,train,0.031,2,0
5,M,297.2,308.4,1744.0,51.5,3,0,train,0.04,1,0
6,M,298.1,309.8,1619.0,31.3,117,0,train,0.019,0,0
7,L,294.0,309.6,1342.0,42.4,159,0,train,0.037,3,0
8,H,296.5,308.4,1383.0,31.5,182,0,train,0.041,2,0
9,M,300.0,308.5,1589.0,38.1,226,0,train,0.015,2,0
10,M,296.7,308.8,1388.0,43.2,162,0,train,0.009,0,0
11,L,296.3,306.7,1119.0,5.9,189,0,train,0.063,0,0
12,L,300.6,308.6,1490.0,64.1,52,0,train,0.011,0,0
13,H,300.7,307.3,1234.0,45.7,85,0,train,0.077,0,0
14,M,299.0,308.3,1791.0,34.0,75,0,train,0.043,3,0
15,H,297.1,307.8,1532.0,59.3,16,0,train,0.063,1,0
16,H,297.5,308.5,1337.0,36.5,242,0,train,0.038,2,0
17,L,296.4,308.1,1374.0,41.3,60,0,train,0.081,3,0
18,M,296.0,304.9,1160.0,35.1,112,0,train,0.016,3,0
19,L,295.9,308.2,1302.0,56.5,89,0,train,0.018,1,0
20,M,296.8,308.6,1683.0,39.0,11,0,train,0.038,1,0
21,L,295.9,308.4,1902.0,41.5,225,1,train,0.725,1,1
22,L,294.9,307.9,1631.0,52.0,54,0,train,0.002,0,0
23,M,298.4,309.6,1483.0,45.9,25,0,train,0.145,3,0
24,M,298.5,308.3,1422.0,39.5,85,0,train,0.027,2,0
25,M,301.4,308.4,1328.0,51.1,35,0,train,0.126,1,0
26,L,296.7,309.0,1871.0,65.4,249,0,train,0.113,2,0
27,L,298.6,308.4,1466.0,43.2,47,0,train,0.041,2,0
28,H,298.6,307.1,1881.0,41.2,75,0,train,0.013,0,0
29,L,297.5,305.6,1751.0,41.7,67,0,train,0.011,2,0
30,L,299.5,307.5,1187.0,53.1,6,0,train,0.064,3,0
31,M,299.6,308.8,1380.0,34.0,3,0,train,0.042,2,0
32,L,298.7,307.6,1380.0,37.2,128,0,train,0.013,2,0
33,M,297.5,308.8,1486.0,24.6,58,0,train,0.049,0,0
34,L,297.3,308.1,1489.0,28.2,20,0,train,0.016,2,0
35,H,295.3,309.3,2039.0,34.8,72,0,train,0.03,3,0
36,H,296.4,307.7,1306.0,39.4,68,0,train,0.078,1,0
37,H,296.8,308.5,1541.0,57.7,106,0,train,0.009,2,0
38,M,295.8,308.5,1611.0,45.4,248,0,train,0.026,2,0
39,L,298.9,309.5,1500.0,30.9,76,0,train,0.048,0,0
40,M,300.4,306.3,1520.0,32.7,176,0,train,0.121,1,0
41,H,296.2,307.5,1312.0,53.7,192,1,train,0.674,3,1
42,M,298.6,308.8,1519.0,51.3,12,0,train,0.021,3,0
43,M,295.9,309.5,1592.0,40.3,125,0,train,0.046,1,0
44,M,297.4,308.2,1559.0,35.6,112,0,train,0.065,1,0
45,M,296.6,307.7,1603.0,51.2,126,0,train,0.02,3,0
46,M,299.2,308.8,1754.0,30.1,42,0,train,0.048,0,0
47,L,296.6,308.9,1669.0,43.9,116,0,train,0.083,1,0
48,L,300.0,307.6,1513.0,62.7,30,0,train,0.033,0,0
49,M,297.5,308.3,1289.0,42.1,236,1,train,0.738,0,1
50,L,296.7,309.2,1392.0,32.2,146,0,train,0.096,2,0
51,H,295.5,309.9,1460.0,44.1,8,0,train,0.029,1,0
52,M,298.5,308.7,1545.0,35.3,126,0,train,0.031,3,0
53,L,299.8,308.0,1414.0,26.1,231,0,train,0.128,3,0
54,H,298.5,307.9,1332.0,47.0,185,0,train,0.046,3,0
55,M,302.5,308.6,1286.0,51.2,68,0,train,0.011,2,0
56,M,300.9,307.9,1203.0,36.9,223,0,train,0.011,2,0
57,L,297.4,308.2,1458.0,36.2,46,0,train,0.195,2,0
58,H,297.4,306.9,1235.0,30.4,61,0,train,0.005,3,0
59,L,298.9,309.3,1320.0,38.5,38,0,train,0.007,0,0
60,M,296.3,306.9,1429.0,34.4,230,0,train,0.066,2,0
61,L,300.3,307.6,1260.0,29.9,179,0,train,0.123,0,0
62,M,298.7,308.1,1568.0,58.9,129,0,train,0.078,1,0
63,M,298.5,310.0,1633.0,44.7,166,0,train,0.102,1,0
64,M,299.4,307.6,1401.0,45.7,64,0,train,0.233,2,0
65,L,301.4,307.3,1421.0,48.8,17,0,train,0.02,3,0
66,H,298.3,307.4,1597.0,47.7,211,0,train,0.059,0,0
67,M,297.8,309.7,1371.0,35.9,241,0,train,0.021,2,0
68,L,301.0,305.2,1359.0,42.7,8,0,train,0.041,0,0
69,H,299.9,307.0,1715.0,37.3,12,0,train,0.019,0,0
70,M,297.4,310.7,1659.0,44.4,139,0,train,0.112,1,0
71,H,298.0,308.6,1608.0,43.4,10,0,train,0.092,2,0
72,H,298.4,306.9,1667.0,36.2,180,0,train,0.028,0,0
73,H,298.7,308.0,1144.0,26.7,236,0,train,0.016,1,0
74,M,295.3,308.1,1744.0,41.5,69,0,train,0.022,3,0
75,M,294.9,308.8,1571.0,38.0,73,0,train,0.195,1,0
76,L,296.2,309.8,1682.0,21.1,215,0,train,0.033,3,0
77,M,296.1,308.4,1570.0,45.1,89,0,train,0.007,3,0
78,M,296.7,307.5,1509.0,49.7,60,0,train,0.149,1,0
79,M,299.3,308.8,1450.0,65.3,21,0,train,0.03,2,0
80,H,297.7,307.3,1566.0,36.1,209,0,train,0.035,2,0
81,L,298.4,307.0,1444.0,34.6,231,0,train,0.038,1,0
82,L,295.6,306.2,1656.0,28.9,19,0,train,0.083,1,0
83,M,297.1,306.4,1214.0,42.1,200,0,train,0.142,1,0
84,L,299.2,307.1,1403.0,42.0,39,0,train,0.041,0,0
85,L,299.2,306.8,1868.0,31.9,34,0,train,0.076,0,0
86,L,296.6,308.3,1387.0,38.3,95,0,train,0.098,1,0
87,H,298.3,306.8,1457.0,20.2,109,0,train,0.046,3,0
88,L,302.4,304.9,1341.0,49.3,213,0,train,0.061,0,0
89,L,298.0,307.0,1560.0,32.3,174,0,train,0.122,0,0
90,L,296.6,307.5,1367.0,39.7,36,0,train,0.033,1,0
91,L,297.7,307.4,1467.0,25.7,146,0,train,0.171,2,0
92,L,298.2,309.5,1653.0,34.2,218,0,train,0.145,0,0
93,M,297.7,307.4,1374.0,37.2,165,0,train,0.095,0,0
94,M,297.9,308.9,1642.0,39.9,57,0,train,0.173,0,0
95,L,295.1,308.0,1648.0,44.8,32,0,train,0.147,1,0
96,M,296.1,308.0,1690.0,54.4,113,0,train,0.007,0,0
97,L,297.7,307.2,1525.0,47.3,118,0,train,0.007,3,0
98,L,297.7,307.9,2083.0,49.6,88,0,train,0.016,3,0
99,H,296.9,307.2,1690.0,54.5,27,0,train,0.167,1,0
100,M,297.6,308.2,1558.0,45.7,29,0,train,0.042,0,0
101,H,298.1,307.8,1342.0,39.6,132,0,train,0.021,0,0
102,L,299.8,307.1,1483.0,50.1,236,0,train,0.027,1,0
103,L,297.8,309.0,1757.0,50.7,149,0,train,0.081,1,0
104,L,298.8,308.4,1808.0,46.5,109,0,train,0.091,2,0
105,L,296.9,307.6,1766.0,25.5,232,0,train,0.037,1,0
106,H,299.1,308.1,1641.0,31.6,172,0,train,0.1,1,0
107,L,298.8,307.9,1274.0,37.3,179,0,train,0.119,1,0
108,H,299.7,307.1,1588.0,47.8,143,0,train,0.147,2,0
109,H,299.4,308.1,1277.0,39.8,190,0,train,0.073,2,0
110,M,299.2,307.4,1232.0,51.4,125,0,train,0.274,0,0
111,L,297.8,307.1,1543.0,53.2,155,0,train,0.047,1,0
112,M,298.5,306.4,1594.0,52.0,154,0,train,0.021,2,0
113,L,300.1,307.6,1663.0,52.1,188,0,train,0.142,2,0
114,M,296.7,308.6,1589.0,29.6,224,0,train,0.194,2,0
115,L,296.7,307.3,1596.0,44.8,73,0,train,0.011,2,0
116,H,298.4,310.5,1323.0,33.9,174,0,train,0.03,2,0
117,M,298.8,308.9,1481.0,23.5,7,0,train,0.084,1,0
118,M,296.4,309.3,1229.0,37.1,133,0,train,0.179,2,0
119,M,297.9,308.8,1139.0,53.2,224,0,train,0.019,1,0
120,M,297.8,309.9,1633.0,44.6,161,0,train,0.06,1,0
121,H,293.6,307.2,1364.0,60.2,66,0,train,0.177,0,0
122,L,297.6,305.4,1657.0,41.8,151,0,train,0.096,1,0
123,H,297.7,307.6,1700.0,64.5,89,0,train,0.031,0,0
124,H,297.7,308.6,1389.0,41.8,108,0,train,0.104,0,0
125,H,300.8,308.2,1606.0,40.2,57,0,train,0.118,1,0
126,L,295.6,308.3,1381.0,27.2,156,0,train,0.143,2,0
127,H,296.4,309.3,1168.0,51.1,49,0,train,0.177,3,0
128,L,292.8,308.4,1522.0,35.0,110,0,train,0.091,0,0
129,M,297.0,308.8,1415.0,33.5,234,0,train,0.05,3,0
130,L,297.2,307.1,1421.0,52.8,189,0,train,0.088,1,0
131,L,297.0,306.9,1856.0,51.6,103,0,train,0.08,2,0
132,L,300.2,309.6,1225.0,51.3,242,0,train,0.017,2,0
133,L,299.7,308.1,1569.0,36.4,3,0,train,0.202,3,0
134,L,298.2,307.4,1321.0,39.5,239,0,train,0.067,0,0
135,H,297.3,307.4,1663.0,39.4,88,0,train,0.157,3,0
136,L,300.1,307.4,1554.0,47.8,205,0,train,0.087,0,0
137,M,298.0,307.3,1568.0,55.5,236,0,train,0.011,3,0
138,L,296.4,306.7,1330.0,43.7,150,0,train,0.07,2,0
139,M,294.6,306.5,1362.0,59.7,152,0,train,0.022,1,0
