date,region,usage_kwh,peak_kw,load_factor,avg_temp
2026-07-01,A공장,12591.4,598.7,0.876,26.0
2026-07-02,A공장,12813.5,653.4,0.817,26.4
2026-07-03,A공장,13505.1,611.3,0.921,26.9
2026-07-04,A공장,13129.3,598.3,0.914,27.3
2026-07-05,A공장,11567.6,671.5,0.718,27.7
2026-07-06,A공장,11329.4,547.4,0.862,28.1
2026-07-07,A공장,11912.9,560.8,0.885,28.5
2026-07-08,A공장,12405.1,680.1,0.76,28.8
2026-07-09,A공장,13120.4,743.4,0.735,29.1
2026-07-10,A공장,13024.0,628.9,0.863,29.4
2026-07-11,A공장,13110.9,631.3,0.865,29.6
2026-07-12,A공장,12386.2,617.9,0.835,29.8
2026-07-13,A공장,11739.9,637.9,0.767,29.9
2026-07-14,A공장,12212.7,564.1,0.902,30.0
2026-07-15,A공장,12640.3,617.6,0.853,30.0
2026-07-16,A공장,12867.7,679.6,0.789,30.0
2026-07-17,A공장,13390.6,677.0,0.824,29.9
2026-07-18,A공장,12559.4,631.1,0.829,29.8
2026-07-19,A공장,12416.4,603.6,0.857,29.6
2026-07-20,A공장,11705.1,544.8,0.895,29.4
2026-07-21,A공장,11819.1,586.6,0.84,29.2
2026-07-22,A공장,12295.7,617.0,0.83,28.9
2026-07-23,A공장,13492.2,663.2,0.848,28.6
2026-07-24,A공장,13233.6,647.3,0.852,28.2
2026-07-25,A공장,12718.6,656.5,0.807,27.8
2026-07-26,A공장,12047.3,638.0,0.787,27.4
2026-07-27,A공장,11879.8,590.7,0.838,27.0
2026-07-28,A공장,11984.2,604.3,0.826,26.6
2026-07-29,A공장,12623.8,626.6,0.839,26.1
2026-07-30,A공장,13254.7,656.3,0.842,25.7
2026-07-31,A공장,13922.4,642.4,0.903,25.2
2026-08-01,A공장,12725.2,651.9,0.813,24.8
2026-08-02,A공장,11999.2,604.7,0.827,24.4
2026-08-03,A공장,11475.9,648.8,0.737,24.0
2026-08-04,A공장,12059.3,640.9,0.784,23.6
2026-08-05,A공장,12838.7,636.6,0.84,23.3
2026-08-06,A공장,13091.3,633.4,0.861,23.0
2026-08-07,A공장,13027.9,630.6,0.861,22.7
2026-08-08,A공장,12599.8,678.1,0.774,22.5
2026-08-09,A공장,12348.1,615.5,0.836,22.3
2026-08-10,A공장,11943.0,600.4,0.829,22.1
2026-08-11,A공장,12037.5,541.4,0.926,22.0
2026-08-12,A공장,12300.3,652.8,0.785,22.0
2026-08-13,A공장,13195.1,669.9,0.821,22.0
2026-08-14,A공장,13314.9,630.7,0.88,22.1
2026-08-15,A공장,12912.7,628.2,0.856,22.2
2026-08-16,A공장,12414.3,615.6,0.84,22.3
2026-08-17,A공장,11787.1,587.6,0.836,22.5
2026-08-18,A공장,12078.2,585.0,0.86,22.7
2026-08-19,A공장,12520.3,621.9,0.839,23.0
2026-08-20,A공장,13212.2,648.7,0.849,23.3
2026-08-21,A공장,13469.3,668.6,0.839,23.7
2026-08-22,A공장,12410.0,686.5,0.753,24.1
2026-08-23,A공장,12057.0,530.6,0.947,24.5
2026-08-24,A공장,11578.9,578.9,0.833,24.9
2026-08-25,A공장,11682.9,599.0,0.813,25.3
2026-08-26,A공장,12417.5,633.9,0.816,25.8
2026-08-27,A공장,13573.9,645.1,0.877,26.2
2026-08-28,A공장,13020.2,611.3,0.887,26.6
2026-08-29,A공장,13137.6,652.2,0.839,27.1
2026-07-01,B공장,8814.0,676.8,0.543,26.0
2026-07-02,B공장,8969.4,610.3,0.612,26.4
2026-07-03,B공장,9453.6,689.9,0.571,26.9
2026-07-04,B공장,9190.5,632.5,0.605,27.3
2026-07-05,B공장,8097.3,605.8,0.557,27.7
2026-07-06,B공장,7930.6,554.4,0.596,28.1
2026-07-07,B공장,8339.0,583.7,0.595,28.5
2026-07-08,B공장,8683.6,664.0,0.545,28.8
2026-07-09,B공장,9184.3,673.8,0.568,29.1
2026-07-10,B공장,9116.8,716.0,0.531,29.4
2026-07-11,B공장,9177.6,677.7,0.564,29.6
2026-07-12,B공장,8670.4,620.8,0.582,29.8
2026-07-13,B공장,8217.9,638.3,0.536,29.9
2026-07-14,B공장,8548.9,606.9,0.587,30.0
2026-07-15,B공장,8848.2,649.8,0.567,30.0
2026-07-16,B공장,9007.4,647.4,0.58,30.0
2026-07-17,B공장,9373.4,666.0,0.586,29.9
2026-07-18,B공장,8791.6,621.4,0.589,29.8
2026-07-19,B공장,8691.5,637.3,0.568,29.6
2026-07-20,B공장,8193.6,550.7,0.62,29.4
2026-07-21,B공장,8273.4,617.2,0.559,29.2
2026-07-22,B공장,8607.0,619.3,0.579,28.9
2026-07-23,B공장,9444.6,691.4,0.569,28.6
2026-07-24,B공장,9263.5,686.5,0.562,28.2
2026-07-25,B공장,8903.0,697.0,0.532,27.8
2026-07-26,B공장,8433.1,629.6,0.558,27.4
2026-07-27,B공장,8315.8,538.8,0.643,27.0
2026-07-28,B공장,8388.9,591.7,0.591,26.6
2026-07-29,B공장,8836.7,589.8,0.624,26.1
2026-07-30,B공장,9278.3,640.7,0.603,25.7
2026-07-31,B공장,9745.7,709.3,0.572,25.2
2026-08-01,B공장,8907.6,661.5,0.561,24.8
2026-08-02,B공장,8399.5,586.7,0.597,24.4
2026-08-03,B공장,8033.1,555.6,0.602,24.0
2026-08-04,B공장,8441.5,594.7,0.591,23.6
2026-08-05,B공장,8987.1,588.5,0.636,23.3
2026-08-06,B공장,9163.9,636.1,0.6,23.0
2026-08-07,B공장,9119.5,673.4,0.564,22.7
2026-08-08,B공장,8819.8,677.0,0.543,22.5
2026-08-09,B공장,8643.6,625.9,0.575,22.3
2026-08-10,B공장,8360.1,517.3,0.673,22.1
2026-08-11,B공장,8426.2,602.9,0.582,22.0
2026-08-12,B공장,8610.2,627.2,0.572,22.0
2026-08-13,B공장,9236.6,668.7,0.576,22.0
2026-08-14,B공장,9320.5,712.5,0.545,22.1
2026-08-15,B공장,9038.9,580.5,0.649,22.2
2026-08-16,B공장,8690.0,589.9,0.614,22.3
2026-08-17,B공장,8251.0,603.7,0.569,22.5
2026-08-18,B공장,8454.7,546.3,0.645,22.7
2026-08-19,B공장,8764.2,669.3,0.546,23.0
2026-08-20,B공장,9248.5,667.3,0.577,23.3
2026-08-21,B공장,9428.5,689.4,0.57,23.7
2026-08-22,B공장,8687.0,625.2,0.579,24.1
2026-08-23,B공장,8439.9,632.1,0.556,24.5
2026-08-24,B공장,8105.3,618.1,0.546,24.9
2026-08-25,B공장,8178.0,600.7,0.567,25.3
2026-08-26,B공장,8692.2,632.0,0.573,25.8
2026-08-27,B공장,9501.8,664.4,0.596,26.2
2026-08-28,B공장,9114.1,638.1,0.595,26.6
2026-08-29,B공장,9196.3,637.9,0.601,27.1
