severity_threshold,model,feature_set,failure_rows,total_rows,failure_rate,predicted_failure_rows,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
7,기본,센서+과거변화+설비정보,597,1650,0.3618181818181818,575,0.6848484848484848,0.5669565217391305,0.5460636515912898,0.5563139931740614,0.7515243199218631,0.5510291529587699,0.5527368363834568,804,249,271,326,0.3618181818181818,0.3484848484848485,0.6381818181818182,1650
7,balanced,센서+과거변화+설비정보,597,1650,0.3618181818181818,933,0.6593939393939394,0.5187566988210075,0.8107202680067002,0.6326797385620915,0.7498238263174054,0.547072169112917,0.548775042172561,604,449,113,484,0.3618181818181818,0.5654545454545454,0.6381818181818182,1650
10,기본,센서+과거변화+설비정보,349,1650,0.21151515151515152,69,0.7890909090909091,0.5072463768115942,0.10028653295128939,0.1674641148325359,0.7333063171596017,0.37278309054014436,0.3755018382858992,1267,34,314,35,0.21151515151515152,0.04181818181818182,0.7884848484848485,1650
10,balanced,센서+과거변화+설비정보,349,1650,0.21151515151515152,804,0.6139393939393939,0.3208955223880597,0.7392550143266475,0.44752818733738076,0.7295974663527505,0.3622961858579563,0.36501066323233844,755,546,91,258,0.21151515151515152,0.48727272727272725,0.7884848484848485,1650
11,기본,센서+과거변화+설비정보,249,1650,0.1509090909090909,18,0.8478787878787879,0.4444444444444444,0.0321285140562249,0.0599250936329588,0.7450501506382418,0.3149732507941768,0.3185181835869732,1391,10,241,8,0.1509090909090909,0.01090909090909091,0.8490909090909091,1650
11,balanced,센서+과거변화+설비정보,249,1650,0.1509090909090909,721,0.6266666666666667,0.24549237170596394,0.7108433734939759,0.3649484536082474,0.7424616381299646,0.3026716335700105,0.30618379562394765,857,544,72,177,0.1509090909090909,0.43696969696969695,0.8490909090909091,1650
12,기본,센서+과거변화+설비정보,192,1650,0.11636363636363636,7,0.8854545454545455,0.7142857142857143,0.026041666666666668,0.05025125628140704,0.7481852994970278,0.2809304520148093,0.2831484518811975,1456,2,187,5,0.11636363636363636,0.004242424242424243,0.8836363636363637,1650
12,balanced,센서+과거변화+설비정보,192,1650,0.11636363636363636,707,0.6212121212121212,0.19377652050919378,0.7135416666666666,0.3047830923248053,0.7441700960219478,0.2589855386754929,0.2631465897879132,888,570,55,137,0.11636363636363636,0.42848484848484847,0.8836363636363637,1650
13,기본,센서+과거변화+설비정보,133,1650,0.08060606060606061,1,0.92,1.0,0.007518796992481203,0.014925373134328358,0.7549724674243288,0.23277247166682227,0.2363116537789206,1517,0,132,1,0.08060606060606061,0.0006060606060606061,0.9193939393939394,1650
13,balanced,센서+과거변화+설비정보,133,1650,0.08060606060606061,675,0.6266666666666667,0.14222222222222222,0.7218045112781954,0.2376237623762376,0.7494064759790049,0.22229727097470403,0.2276674759917029,938,579,37,96,0.08060606060606061,0.4090909090909091,0.9193939393939394,1650
14,기본,센서+과거변화+설비정보,106,1650,0.06424242424242424,0,0.9357575757575758,0.0,0.0,0.0,0.7484663701241567,0.15628777094981433,0.16248715460315163,1544,0,106,0,0.06424242424242424,0.0,0.9357575757575758,1650
14,balanced,센서+과거변화+설비정보,106,1650,0.06424242424242424,654,0.6339393939393939,0.11926605504587157,0.7358490566037735,0.20526315789473684,0.745111936650699,0.16972336757776027,0.1729236557074495,968,576,28,78,0.06424242424242424,0.39636363636363636,0.9357575757575758,1650
