severity_threshold,feature_set,model_variant,cutoff_method,probability_cutoff,split,train_failure_rate,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
7,original_features,default,fixed_0.5,0.5,Validation,0.3612271540469974,0.624390243902439,0.4627659574468085,0.29591836734693877,0.36099585062240663,0.6380250769509325,0.4651800972857054,0.46680555537861923,850,202,414,174,0.35853658536585364,0.22926829268292684,0.6414634146341464,1640
7,original_features,default,validation_F1,0.24,Validation,0.3612271540469974,0.5170731707317073,0.42249240121580545,0.9455782312925171,0.5840336134453782,0.6380250769509325,0.4651800972857054,0.46680555537861923,292,760,32,556,0.35853658536585364,0.802439024390244,0.6414634146341464,1640
7,original_features,default,fixed_0.5,0.5,Test,0.3612271540469974,0.6224242424242424,0.4684466019417476,0.3232830820770519,0.38255698711595637,0.6485068584454403,0.4681876976169458,0.46950642284363886,834,219,404,193,0.3618181818181818,0.2496969696969697,0.6381818181818182,1650
7,original_features,default,validation_F1,0.24,Test,0.3612271540469974,0.5066666666666667,0.42027920646583394,0.9581239530988275,0.5842696629213483,0.6485068584454403,0.4681876976169458,0.46950642284363886,264,789,25,572,0.3618181818181818,0.8248484848484848,0.6381818181818182,1650
7,original_features,balanced,fixed_0.5,0.5,Validation,0.3612271540469974,0.5920731707317073,0.44621513944223107,0.5714285714285714,0.5011185682326622,0.6388624841571608,0.46431605327002623,0.46596650660028693,635,417,252,336,0.35853658536585364,0.45914634146341465,0.6414634146341464,1640
7,original_features,balanced,validation_F1,0.35,Validation,0.3612271540469974,0.5189024390243903,0.4241509433962264,0.95578231292517,0.5875588081547308,0.6388624841571608,0.46431605327002623,0.46596650660028693,289,763,26,562,0.35853658536585364,0.8079268292682927,0.6414634146341464,1640
7,original_features,balanced,fixed_0.5,0.5,Test,0.3612271540469974,0.5909090909090909,0.45112781954887216,0.6030150753768844,0.5161290322580645,0.649322904487617,0.46775911446280594,0.46907379230867324,615,438,237,360,0.3618181818181818,0.48363636363636364,0.6381818181818182,1650
7,original_features,balanced,validation_F1,0.35,Test,0.3612271540469974,0.5042424242424243,0.41951930080116534,0.964824120603015,0.584771573604061,0.649322904487617,0.46775911446280594,0.46907379230867324,256,797,21,576,0.3618181818181818,0.8321212121212122,0.6381818181818182,1650
10,original_features,default,fixed_0.5,0.5,Validation,0.21305483028720626,0.7975609756097561,0.5384615384615384,0.021021021021021023,0.04046242774566474,0.6298563291677293,0.28596326830050517,0.2886841119513337,1301,6,326,7,0.2030487804878049,0.007926829268292683,0.796951219512195,1640
10,original_features,default,validation_F1,0.16,Validation,0.21305483028720626,0.450609756097561,0.24414414414414415,0.8138138138138138,0.3756063756063756,0.6298563291677293,0.28596326830050517,0.2886841119513337,468,839,62,271,0.2030487804878049,0.676829268292683,0.796951219512195,1640
10,original_features,default,fixed_0.5,0.5,Test,0.21305483028720626,0.7884848484848485,0.5,0.011461318051575931,0.022408963585434174,0.6441066933304556,0.30008377295810007,0.3019482746329395,1297,4,345,4,0.21151515151515152,0.0048484848484848485,0.7884848484848485,1650
10,original_features,default,validation_F1,0.16,Test,0.21305483028720626,0.45151515151515154,0.25741710296684117,0.8452722063037249,0.39464882943143814,0.6441066933304556,0.30008377295810007,0.3019482746329395,450,851,54,295,0.21151515151515152,0.6945454545454546,0.7884848484848485,1650
10,original_features,balanced,fixed_0.5,0.5,Validation,0.21305483028720626,0.5926829268292683,0.2696011004126547,0.5885885885885885,0.36981132075471695,0.6325928070381015,0.28381904391629187,0.28654615408286993,776,531,137,196,0.2030487804878049,0.4432926829268293,0.796951219512195,1640
10,original_features,balanced,validation_F1,0.4,Validation,0.21305483028720626,0.4451219512195122,0.24847428073234526,0.8558558558558559,0.38513513513513514,0.6325928070381015,0.28381904391629187,0.28654615408286993,445,862,48,285,0.2030487804878049,0.699390243902439,0.796951219512195,1640
10,original_features,balanced,fixed_0.5,0.5,Test,0.21305483028720626,0.6072727272727273,0.2976995940460081,0.6303724928366762,0.40441176470588236,0.6468839266246594,0.29337432699901167,0.29560321165715964,782,519,129,220,0.21151515151515152,0.4478787878787879,0.7884848484848485,1650
