machine_type,score_threshold,probability_cutoff,status,train_positive,valid_positive,test_positive,Accuracy,Precision,Recall,F1
Belt Conveyor,7,0.23,ok,468,95,101,0.5848484848484848,0.42105263157894735,0.9504950495049505,0.5835866261398176
Belt Conveyor,10,0.21,ok,241,47,46,0.6393939393939394,0.2032520325203252,0.5434782608695652,0.2958579881656805
Belt Conveyor,11,0.1,ok,160,27,34,0.4636363636363636,0.1407035175879397,0.8235294117647058,0.24034334763948498
Belt Conveyor,12,0.13,ok,122,23,21,0.7757575757575758,0.07936507936507936,0.23809523809523808,0.11904761904761904
Belt Conveyor,13,0.05,ok,74,16,12,0.5181818181818182,0.043478260869565216,0.5833333333333334,0.08092485549132948
Belt Conveyor,14,0.06,ok,58,14,12,0.7727272727272727,0.0684931506849315,0.4166666666666667,0.11764705882352941
CNC Lathe,7,0.23,ok,530,92,95,0.5727272727272728,0.4025423728813559,1.0,0.5740181268882175
CNC Lathe,10,0.13,ok,292,53,50,0.43333333333333335,0.20346320346320346,0.94,0.33451957295373663
CNC Lathe,11,0.09,ok,193,36,32,0.3878787878787879,0.13043478260869565,0.9375,0.22900763358778625
CNC Lathe,12,0.06,ok,158,26,24,0.36363636363636365,0.09913793103448276,0.9583333333333334,0.1796875
CNC Lathe,13,0.13,ok,100,17,14,0.8636363636363636,0.030303030303030304,0.07142857142857142,0.0425531914893617
CNC Lathe,14,0.13,ok,78,14,12,0.9393939393939394,0.1,0.08333333333333333,0.09090909090909091
EOT Crane,7,0.3,ok,510,128,118,0.7,0.5487179487179488,0.9067796610169492,0.6837060702875399
EOT Crane,10,0.2,ok,306,71,72,0.6909090909090909,0.39285714285714285,0.7638888888888888,0.5188679245283019
EOT Crane,11,0.12,ok,224,50,44,0.6575757575757576,0.25874125874125875,0.8409090909090909,0.39572192513368987
EOT Crane,12,0.09,ok,189,40,38,0.6090909090909091,0.21739130434782608,0.9210526315789473,0.35175879396984927
EOT Crane,13,0.06,ok,135,31,25,0.5575757575757576,0.14201183431952663,0.96,0.24742268041237114
EOT Crane,14,0.19,ok,105,29,20,0.8696969696969697,0.07407407407407407,0.1,0.0851063829787234
Hydraulic Press,7,0.4,ok,660,143,138,0.6878787878787879,0.5813953488372093,0.9057971014492754,0.7082152974504249
Hydraulic Press,10,0.37,ok,429,81,88,0.6393939393939394,0.36283185840707965,0.4659090909090909,0.4079601990049751
Hydraulic Press,11,0.31,ok,339,64,69,0.703030303030303,0.3253012048192771,0.391304347826087,0.35526315789473684
Hydraulic Press,12,0.21,ok,288,54,54,0.5909090909090909,0.23870967741935484,0.6851851851851852,0.35406698564593303
Hydraulic Press,13,0.23,ok,211,43,44,0.8393939393939394,0.36363636363636365,0.2727272727272727,0.3116883116883117
Hydraulic Press,14,0.16,ok,175,32,33,0.7303030303030303,0.1744186046511628,0.45454545454545453,0.25210084033613445
Screw Compressor,7,0.22,ok,599,130,145,0.7181818181818181,0.6120689655172413,0.9793103448275862,0.753315649867374
Screw Compressor,10,0.23,ok,364,81,93,0.6454545454545455,0.43548387096774194,0.8709677419354839,0.5806451612903226
Screw Compressor,11,0.22,ok,286,62,70,0.6909090909090909,0.38571428571428573,0.7714285714285715,0.5142857142857142
Screw Compressor,12,0.13,ok,235,52,55,0.5787878787878787,0.2692307692307692,0.8909090909090909,0.41350210970464135
Screw Compressor,13,0.26,ok,164,31,38,0.8636363636363636,0.29411764705882354,0.13157894736842105,0.18181818181818182
Screw Compressor,14,0.13,ok,122,26,29,0.7393939393939394,0.12,0.3103448275862069,0.17307692307692307
