severity_threshold,model,Accuracy_sensor8,Precision_sensor8,Recall_sensor8,F1_sensor8,PR_AUC_sensor8,FP_sensor8,FN_sensor8,Accuracy_expanded,Precision_expanded,Recall_expanded,F1_expanded,PR_AUC_expanded,FP_expanded,FN_expanded,F1_change,PR_AUC_change
7,기본,0.6224242424242424,0.4684466019417476,0.3232830820770519,0.38255698711595637,0.4681876976169458,219,404,0.6848484848484848,0.5669565217391305,0.5460636515912898,0.5563139931740614,0.5510291529587699,249,271,0.173757006058105,0.08284145534182408
7,balanced,0.5909090909090909,0.45112781954887216,0.6030150753768844,0.5161290322580645,0.46775911446280594,438,237,0.6593939393939394,0.5187566988210075,0.8107202680067002,0.6326797385620915,0.547072169112917,449,113,0.11655070630402697,0.07931305465011107
10,기본,0.7884848484848485,0.5,0.011461318051575931,0.022408963585434174,0.30008377295810007,4,345,0.7890909090909091,0.5072463768115942,0.10028653295128939,0.1674641148325359,0.37278309054014436,34,314,0.14505515124710172,0.07269931758204429
10,balanced,0.6072727272727273,0.2976995940460081,0.6303724928366762,0.40441176470588236,0.29337432699901167,519,129,0.6139393939393939,0.3208955223880597,0.7392550143266475,0.44752818733738076,0.3622961858579563,546,91,0.0431164226314984,0.06892185885894464
11,기본,0.8490909090909091,0.0,0.0,0.0,0.22276385747261823,0,249,0.8478787878787879,0.4444444444444444,0.0321285140562249,0.0599250936329588,0.3149732507941768,10,241,0.0599250936329588,0.09220939332155859
11,balanced,0.5963636363636363,0.21001390820584145,0.606425702811245,0.3119834710743802,0.2164956436063437,568,98,0.6266666666666667,0.24549237170596394,0.7108433734939759,0.3649484536082474,0.3026716335700105,544,72,0.05296498253386722,0.08617598996366677
12,기본,0.8836363636363637,0.0,0.0,0.0,0.18050065879979815,0,192,0.8854545454545455,0.7142857142857143,0.026041666666666668,0.05025125628140704,0.2809304520148093,2,187,0.05025125628140704,0.10042979321501116
12,balanced,0.5969696969696969,0.17107093184979139,0.640625,0.270032930845225,0.17434234355621192,596,69,0.6212121212121212,0.19377652050919378,0.7135416666666666,0.3047830923248053,0.2589855386754929,570,55,0.03475016147958032,0.08464319511928098
13,기본,0.9193939393939394,0.0,0.0,0.0,0.15180833374041658,0,133,0.92,1.0,0.007518796992481203,0.014925373134328358,0.23277247166682227,0,132,0.014925373134328358,0.0809641379264057
13,balanced,0.616969696969697,0.12368024132730016,0.6165413533834586,0.20603015075376885,0.14174907188413552,581,51,0.6266666666666667,0.14222222222222222,0.7218045112781954,0.2376237623762376,0.22229727097470403,579,37,0.031593611622468765,0.08054819909056851
14,기본,0.9357575757575758,0.0,0.0,0.0,0.11475506345527085,0,106,0.9357575757575758,0.0,0.0,0.0,0.15628777094981433,0,106,0.0,0.04153270749454348
14,balanced,0.616969696969697,0.09908536585365854,0.6132075471698113,0.17060367454068243,0.10490957136993839,591,41,0.6339393939393939,0.11926605504587157,0.7358490566037735,0.20526315789473684,0.16972336757776027,576,28,0.034659483354054416,0.06481379620782188
