threshold,model_variant,split,probability_cutoff,train_failure_rate,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
7,default,Test,0.5,0.3612271540469974,0.6224242424242424,0.4684466019417476,0.3232830820770519,0.38255698711595637,0.6485068584454403,0.4681876976169458,0.46950642284363886,834,219,404,193,0.3618181818181818,0.2496969696969697,0.6381818181818182,1650
10,default,Test,0.5,0.21305483028720626,0.7884848484848485,0.5,0.011461318051575931,0.022408963585434174,0.6441066933304556,0.30008377295810007,0.3019482746329395,1297,4,345,4,0.21151515151515152,0.0048484848484848485,0.7884848484848485,1650
11,default,Test,0.5,0.1569190600522193,0.8490909090909091,0.0,0.0,0.0,0.6439261686288337,0.22276385747261823,0.22493947457810548,1401,0,249,0,0.1509090909090909,0.0,0.8490909090909091,1650
12,default,Test,0.5,0.12950391644908615,0.8836363636363637,0.0,0.0,0.0,0.6448902606310014,0.18050065879979815,0.18294509092628608,1458,0,192,0,0.11636363636363636,0.0,0.8836363636363637,1650
13,default,Test,0.5,0.08929503916449086,0.9193939393939394,0.0,0.0,0.0,0.6547598396122144,0.15180833374041658,0.15417513747206954,1517,0,133,0,0.08060606060606061,0.0,0.9193939393939394,1650
14,default,Test,0.5,0.07023498694516972,0.9357575757575758,0.0,0.0,0.0,0.6529230618828821,0.11475506345527085,0.11766708190109391,1544,0,106,0,0.06424242424242424,0.0,0.9357575757575758,1650
11,balanced,Test,0.5,0.1569190600522193,0.5963636363636363,0.21001390820584145,0.606425702811245,0.3119834710743802,0.6489512654472279,0.2164956436063437,0.21960314496738628,833,568,98,151,0.1509090909090909,0.43575757575757573,0.8490909090909091,1650
12,balanced,Test,0.5,0.12950391644908615,0.5969696969696969,0.17107093184979139,0.640625,0.270032930845225,0.651309585048011,0.17434234355621192,0.17805677046229018,862,596,69,123,0.11636363636363636,0.43575757575757573,0.8836363636363637,1650
13,balanced,Test,0.5,0.08929503916449086,0.616969696969697,0.12368024132730016,0.6165413533834586,0.20603015075376885,0.6662238985730642,0.14174907188413552,0.1465928045642101,936,581,51,82,0.08060606060606061,0.4018181818181818,0.9193939393939394,1650
14,balanced,Test,0.5,0.07023498694516972,0.616969696969697,0.09908536585365854,0.6132075471698113,0.17060367454068243,0.6641900479030209,0.10490957136993839,0.11004425192157873,953,591,41,65,0.06424242424242424,0.3975757575757576,0.9357575757575758,1650
