transaction_date,asset_tag,machine_type,plant_code,failed_A,failed_B,failed_C,failed_parts,severity_score,severity_7,severity_10,severity_11,severity_12,severity_13,severity_14
2022-01-03,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-01-04,AST-3008,Belt Conveyor,CHN-02,2,1,0,3,10,1,1,0,0,0,0
2022-01-05,AST-3008,Belt Conveyor,CHN-02,2,0,1,3,9,1,0,0,0,0,0
2022-01-06,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-01-07,AST-3008,Belt Conveyor,CHN-02,0,1,1,2,3,0,0,0,0,0,0
2022-01-08,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-09,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,AST-3008,Belt Conveyor,CHN-02,3,0,0,3,12,1,1,1,1,0,0
2022-01-11,AST-3008,Belt Conveyor,CHN-02,1,2,1,4,9,1,0,0,0,0,0
2022-01-12,AST-3008,Belt Conveyor,CHN-02,3,2,0,5,16,1,1,1,1,1,1
2022-01-13,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-14,AST-3008,Belt Conveyor,CHN-02,1,4,0,5,12,1,1,1,1,0,0
2022-01-15,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-16,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-17,AST-3008,Belt Conveyor,CHN-02,1,1,2,4,8,1,0,0,0,0,0
2022-01-18,AST-3008,Belt Conveyor,CHN-02,2,1,2,5,12,1,1,1,1,0,0
2022-01-19,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-20,AST-3008,Belt Conveyor,CHN-02,0,0,1,1,1,0,0,0,0,0,0
2022-01-21,AST-3008,Belt Conveyor,CHN-02,0,1,0,1,2,0,0,0,0,0,0
2022-01-22,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-23,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-24,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-01-25,AST-3008,Belt Conveyor,CHN-02,1,2,1,4,9,1,0,0,0,0,0
2022-01-26,AST-3008,Belt Conveyor,CHN-02,1,0,0,1,4,0,0,0,0,0,0
2022-01-27,AST-3008,Belt Conveyor,CHN-02,1,2,0,3,8,1,0,0,0,0,0
2022-01-28,AST-3008,Belt Conveyor,CHN-02,2,0,1,3,9,1,0,0,0,0,0
2022-01-29,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-30,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-01-31,AST-3008,Belt Conveyor,CHN-02,1,1,1,3,7,1,0,0,0,0,0
2022-02-01,AST-3008,Belt Conveyor,CHN-02,1,0,1,2,5,0,0,0,0,0,0
2022-02-02,AST-3008,Belt Conveyor,CHN-02,2,0,0,2,8,1,0,0,0,0,0
2022-02-03,AST-3008,Belt Conveyor,CHN-02,0,1,1,2,3,0,0,0,0,0,0
2022-02-04,AST-3008,Belt Conveyor,CHN-02,2,3,0,5,14,1,1,1,1,1,1
2022-02-05,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-02-06,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-02-07,AST-3008,Belt Conveyor,CHN-02,1,0,2,3,6,0,0,0,0,0,0
2022-02-08,AST-3008,Belt Conveyor,CHN-02,0,2,0,2,4,0,0,0,0,0,0
2022-02-09,AST-3008,Belt Conveyor,CHN-02,1,2,1,4,9,1,0,0,0,0,0
2022-02-10,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-02-11,AST-3008,Belt Conveyor,CHN-02,2,1,0,3,10,1,1,0,0,0,0
2022-02-12,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-02-13,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-02-14,AST-3008,Belt Conveyor,CHN-02,0,1,1,2,3,0,0,0,0,0,0
2022-02-15,AST-3008,Belt Conveyor,CHN-02,0,1,1,2,3,0,0,0,0,0,0
2022-02-16,AST-3008,Belt Conveyor,CHN-02,0,0,2,2,2,0,0,0,0,0,0
2022-02-17,AST-3008,Belt Conveyor,CHN-02,2,2,1,5,13,1,1,1,1,1,0
2022-02-18,AST-3008,Belt Conveyor,CHN-02,2,1,0,3,10,1,1,0,0,0,0
2022-02-19,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-02-20,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-02-21,AST-3008,Belt Conveyor,CHN-02,0,0,1,1,1,0,0,0,0,0,0
2022-02-22,AST-3008,Belt Conveyor,CHN-02,0,3,0,3,6,0,0,0,0,0,0
2022-02-23,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
2022-02-24,AST-3008,Belt Conveyor,CHN-02,2,1,1,4,11,1,1,1,0,0,0
2022-02-25,AST-3008,Belt Conveyor,CHN-02,2,2,2,6,14,1,1,1,1,1,1
2022-02-26,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-02-27,AST-3008,Belt Conveyor,CHN-02,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,AST-3008,Belt Conveyor,CHN-02,1,1,0,2,6,0,0,0,0,0,0
