dataset,severity_threshold,normal_count,failure_count,normal_rate,failure_rate
전체,7,6998,3952,0.6390867579908676,0.36091324200913244
전체,10,8636,2314,0.788675799086758,0.211324200913242
전체,11,9260,1690,0.845662100456621,0.154337899543379
전체,12,9571,1379,0.8740639269406393,0.12593607305936072
전체,13,9995,955,0.9127853881278539,0.08721461187214612
전체,14,10191,759,0.9306849315068493,0.06931506849315068
Train,7,4893,2767,0.6387728459530027,0.3612271540469974
Train,10,6028,1632,0.7869451697127937,0.21305483028720626
Train,11,6458,1202,0.8430809399477807,0.1569190600522193
Train,12,6668,992,0.8704960835509138,0.12950391644908615
Train,13,6976,684,0.9107049608355091,0.08929503916449086
Train,14,7122,538,0.9297650130548303,0.07023498694516972
Validation,7,1052,588,0.6414634146341464,0.35853658536585364
Validation,10,1307,333,0.7969512195121952,0.2030487804878049
Validation,11,1401,239,0.8542682926829268,0.14573170731707316
Validation,12,1445,195,0.8810975609756098,0.11890243902439024
Validation,13,1502,138,0.9158536585365854,0.08414634146341464
Validation,14,1525,115,0.9298780487804879,0.0701219512195122
Test,7,1053,597,0.6381818181818182,0.3618181818181818
Test,10,1301,349,0.7884848484848485,0.21151515151515152
Test,11,1401,249,0.8490909090909091,0.1509090909090909
Test,12,1458,192,0.8836363636363637,0.11636363636363636
Test,13,1517,133,0.9193939393939394,0.08060606060606061
Test,14,1544,106,0.9357575757575758,0.06424242424242424
